ID,GROUP NO,DESCRIPTION,FUNC,UNIT,TYPE,SENSOR TYPE,ALARM GROUP,INPUT CH,INHIBIT ID,OUT CH,EAU GROUP,RANGE MIN,RANGE MAX,LOW ALARM,HIGH ALARM,OFFSET,SPAN,ON DELAY,OFFDELAY,CONTROL,ENABLE,ALARM LEVEL,VDR,LOLO (INDICATOR),LOW ,HIGH,HIHI,ALARM PRINTER,LOLO ALARM,HIHI ALARM,ONDELAY2,OFFDELAY2,MEAN ID,INPUT ID
241,GB05,NO.2 G/E SELECT OFF,XA,,2,0,8,4533,0,0,4,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
242,GB06,NO.2 G/E READY FOR START,XA,,2,0,8,4534,241,0,4,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
243,GB07,NO.2 G/E RUNNING,XA,,2,0,8,4535,241,0,4,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
244,GB08,NO.2 G/E COMMON ALARM,XA,,2,0,8,4536,241,0,4,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
245,GB09,NO.2 G/E COMMON SHUTDOWN,SHA,,2,0,8,4537,241,0,4,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
246,GB10,NO.2 G/E START FAIL,XA,,2,0,8,4538,241,0,4,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
247,GB11,NO.2 G/E OVERSPEED SHUT DOWN,SHA,,2,0,8,4539,241,0,4,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
248,GB12,NO.2 G/E LOW OIL PRESS.,XA,,2,0,8,4540,241,0,4,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
249,GB13,NO.2 G/E LOW OIL PRESS. SHUTDOWN,SHA,,2,0,8,4541,241,0,4,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
250,GB14,NO.2 G/E HIGH COOLANT TEMP.,XA,,2,0,8,4542,241,0,4,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
251,GB15,NO.2 G/E HIGH COOLANT TEMP. SHUTDOWN,SHA,,2,0,8,4543,241,0,4,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
